11	ἔτι τοίνυν σκέψασθε, ὦ ἄνδρες δικασταί· οὑτοσὶ γάρ μοι δοκεῖ ὑπὸ ῥᾳθυμίας καὶ μαλακίας οὐδʼ εἰς Ἄρειον πάγον ἀναβεβηκέναι. πάντες γὰρ ἐπίστασθε ὅτι ἐν ἐκείνῳ τῷ χωρίῳ, ὅταν τὰς τοῦ φόνου δίκας δικάζωνται, οὐ διὰ τούτου τοῦ ὀνόματος τὰς διωμοσίας ποιοῦνται, ἀλλὰ διʼ οὗπερ ἐγὼ κακῶς κακῶς Contius: καλῶς MSS. ἀκήκοα· ὁ μὲν γὰρ διώκων ὡς ἔκτεινε διόμνυται, ὁ δὲ φεύγων ὡς οὐκ ἔκτεινεν.
12	οὐκ οὖν ἄτοπον ἂν εἴη τὸν δράσαντʼ ἀφεῖναι δράσαντʼ ἀφεῖναι Dobson: δείξαντα κτεῖναι . φάσκοντα ἀνδροφόνον εἶναι, ὅτι ὁ διώκων, ὡς ἔκτεινε, τὸν φεύγοντα διωμόσατο; τί γὰρ ταῦτα, ὧν οὗτος ἐρεῖ, διαφέρει; καὶ αὐτὸς μὲν Λυσιθέῳ Λυσιθέῳ Frohberger: θέωνι MSS. κακηγορίας ἐδικάσω εἰπόντι σε ἀπόντι σε Taylor: εἰπε τίς σε . ἐρριφέναι τὴν ἀσπίδα. καίτοι περὶ μὲν τοῦ ῥῖψαι οὐδὲν ἐν ἐν add. Markland τῷ νόμῳ εἴρηται, ἐὰν δέ τις εἴπῃ ἀποβεβληκέναι τὴν ἀσπίδα, πεντακοσίας δραχμὰς ὀφείλειν κελεύει. 
13	οὐκ οὖν δεινόν, εἰ ὅταν μὲν δέῃ σὲ κακῶς ἀκούσαντα τοὺς ἐχθροὺς τιμωρεῖσθαι, οὕτω τοὺς νόμους ὥσπερ ἐγὼ νῦν λαμβάνεις, ὅταν δʼ ἕτερον παρὰ τοὺς νόμους εἴπῃς κακῶς, οὐκ ἀξιοῖς δοῦναι δίκην; πότερον οὕτως σὺ δεινὸς εἶ ὥστε, ὅπως ἂν βούλῃ, οἷός τʼ εἶ χρῆσθαι τοῖς νόμοις, ἢ τοσοῦτον δύνασαι ὥστε οὐδέποτε οἴει τοὺς ἀδικουμένους ὑπὸ σοῦ τιμωρίας τεύξεσθαι; εἶτʼ οὐκ αἰσχύνῃ οὕτως ἀνοήτως διακείμενος,
14	ὥστε οὐκ ἐξ ὧν εὖ πεποίηκας τὴν πόλιν, ἀλλʼ ἐξ ὧν ἀδικῶν οὐ δέδωκας δίκην, οἴει δεῖν πλεονεκτεῖν; καί μοι καί μοι Markland: καίτοι MSS. ἀνάγνωθι τὸν νόμον. 
15	Νόμος ἐγὼ τοίνυν, ὦ ἄνδρες δικασταί, ὑμᾶς μὲν πάντας εἰδέναι ἡγοῦμαι ὅτι ἐγὼ μὲν ὀρθῶς λέγω, τοῦτον δὲ οὕτω σκαιὸν εἶναι ὥστε οὐ δύνασθαι μαθεῖν τὰ λεγόμενα. βούλομαι οὖν αὐτὸν καὶ ἐξ ἑτέρων νόμων περὶ τούτων διδάξαι, ἐάν πως ἀλλὰ νῦν ἐπὶ τοῦ βήματος παιδευθῇ καὶ τὸ λοιπὸν ἡμῖν μὴ παρέχῃ πράγματα. καί μοι ἀνάγνωθι τούτους τοὺς νόμους τοὺς Σόλωνος τοὺς παλαιούς.
16	Νόμος δεδέσθαι δʼ ἐν τῇ ποδοκάκκῃ ἡμέρας πέντε τὸν πόδα, ἐὰν μὴ μὴ del. Auger προστιμήσῃ ἡ ἡλιαία. ἡ ποδοκάκκη αὕτη ἐστίν, ὦ Θεόμνηστε, ὃ νῦν καλεῖται ἐν τῷ ξύλῳ δεδέσθαι. εἰ οὖν ὁ δεθεὶς ἐξελθὼν ἐν ταῖς εὐθύναις τῶν ἕνδεκα κατηγοροίη ὅτι οὐκ ἐν τῇ ποδοκάκκῃ ἐδέδετο ἀλλʼ ἐν τῷ ξύλῳ, οὐκ ἂν ἠλίθιον αὐτὸν νομίζοιεν; λέγε ἕτερον νόμον. 
17	Νόμος ἐπεγγυᾶν δʼ ἐπιορκήσαντα τὸν Ἀπόλλω. δεδιότα δὲ δίκης ἕνεκα δρασκάζειν. τοῦτο τὸ ἐπιορκήσαντα ὀμόσαντά ὀμόσαντα Harpocration: ὀμόσαι MSS. ἐστι, τό τε δρασκάζειν, ὃ νῦν ἀποδιδράσκειν ὀνομάζομεν. ὅστις δὲ ἀπίλλει τῇ θύρᾳ, ἔνδον τοῦ κλέπτου ὄντος. τὸ ἀπίλλειν τοῦτο τοῦτο Markland: τὸ MSS. ἀποκλείειν νομίζεται, καὶ μηδὲν διὰ τοῦτο διαφέρου. 
18	τὸ ἀργύριον στάσιμον εἶναι ἐφʼ ὁπόσῳ ἂν βούληται ὁ δανείζων. τὸ στάσιμον τοῦτό ἐστιν, ὦ βέλτιστε, οὐ ζυγῷ ἱστάναι ἀλλὰ τόκον πράττεσθαι ὁπόσον ἂν βούληται. ἔτι δʼ ἀνάγνωθι ἔτι δʼ ἀνάγνωθι P. Mueller: ἐπανάγνωθι MSS. τουτουὶ τουτουὶ Markland: τουτὶ MSS. τοῦ νόμου τὸ τελευταῖον. 
19	Νόμος ὅσαι δὲ πεφασμένως πολοῦνται, καὶ οἰκῆος καὶ βλάβης τὴν διπλὴν καὶ διπλὴν Schelling: καὶ δούλην MSS. εἶναι ὀφείλειν. προσέχετε τὸν νοῦν. τὸ μὲν πεφασμένως ἐστὶ φανερῶς, πολεῖσθαι δὲ βαδίζειν, τὸ δὲ οἰκῆος θεράποντος. 
20	πολλὰ δὲ τοιαῦτα καὶ ἄλλα ἐστίν, ὦ ἄνδρες δικασταί. ἀλλʼ εἰ μὴ σιδηροῦς ἐστιν, οἴομαι αὐτὸν ἔννουν γεγονέναι ὅτι τὰ μὲν πράγματα ταὐτά ἐστι νῦν τε καὶ πάλαι, τῶν δὲ ὀνομάτων ἐνίοις οὐ τοῖς αὐτοῖς χρώμεθα νῦν τε καὶ πρότερον. δηλώσει δέ· οἰχήσεται γὰρ ἀπιὼν ἀπὸ τοῦ βήματος σιωπῇ. 
21	εἰ δὲ μή, δέομαι ὑμῶν, ὦ ἄνδρες δικασταί, τὰ δίκαια ψηφίσασθαι, ἐνθυμουμένους ὅτι πολὺ μεῖζον κακόν ἐστιν ἀκοῦσαί τινα ἀκοῦσαί τινα Foertsch: ἀκούσαντα MSS. τὸν πατέρα ἀπεκτονέναι ἢ τὴν ἀσπίδα ἀποβεβληκέναι. ἐγὼ γοῦν δεξαίμην ἂν πάσας τὰς ἀσπίδας ἐρριφέναι ἢ τοιαύτην γνώμην ἔχειν περὶ τὸν πατέρα. 
22	οὗτος οὖν ἔνοχος μὲν ὢν τῇ αἰτίᾳ, ἐλάττονος δὲ οὔσης αὐτῷ τῆς συμφορᾶς, οὐ μόνον ὑφʼ ὑμῶν ἠλεήθη, ἀλλὰ καὶ τὸν μαρτυρήσαντα ἠτίμωσεν. ἐγὼ δὲ ἑωρακὼς μὲν ἐκεῖνο τοῦτον ποιήσαντα ὃ καὶ ὑμεῖς ἴστε, αὐτὸς δὲ σώσας τὴν ἀσπίδα, ἀκηκοὼς δὲ οὕτως ἀνόσιον ἀνόσιον Hertlein: ἄνομον MSS. καὶ δεινὸν πρᾶγμα, μεγίστης δὲ οὔσης μοι τῆς συμφορᾶς, εἰ ἀποφεύξεται, τούτῳ δʼ οὐδενὸς ἀξίας, εἰ κακηγορίας ἁλώσεται, οὐκ ἄρα δίκην παρʼ αὐτοῦ λήψομαι; τίνος ὄντος ἐμοὶ πρὸς ὑμᾶς ἐγκλήματος; 
23	πότερον ὅτι δικαίως ἀκήκοα; ἀλλʼ οὐδʼ ἂν αὐτοὶ φήσαιτε. ἀλλʼ ὅτι βελτίων καὶ ἐκ βελτιόνων ὁ φεύγων ἐμοῦ; ἀλλʼ οὐδʼ ἂν αὐτὸς ἀξιώσειεν. ἀλλʼ ὅτι ἀποβεβληκὼς τὰ ὅπλα δικάζομαι κακηγορίας τῷ σώσαντι; ἀλλʼ οὐχ οὗτος ὁ λόγος ἐν τῇ πόλει κατεσκέδασται. κατεσκέδασται Brulart: κατεσκεύασται MSS. 
24	ἀναμνήσθητε δὲ ὅτι μεγάλην καὶ καλὴν ἐκείνην δωρεὰν δωρεὰν Contius: δῶρον MSS. αὐτῷ δεδώκατε· ἐν ᾗ τίς οὐκ ἂν ἐλεήσειε Διονύσιον, τοιαύτῃ μὲν συμφορᾷ περιπεπτωκότα, ἄνδρα δὲ ἄριστον ἐν τοῖς κινδύνοις γεγενημένον,
25	 ἀπιόντα δὲ ἀπὸ τοῦ δικαστηρίου καὶ καὶ del. Reiske λέγοντα ὅτι δυστυχεστάτην ἐκείνην εἴημεν στρατείαν ἐστρατευμένοι, ἐν ᾗ πολλοὶ μὲν ἡμῶν ἀπέθανον, οἱ δὲ σώσαντες τὰ ὅπλα ὑπὸ τῶν ἀποβαλόντων ψευδομαρτυρίων ἑαλώκασι, κρεῖττον δὲ ἦν αὐτῷ τότε ἀποθανεῖν ἢ οἴκαδʼ ἐλθόντι τοιαύτῃ τύχῃ χρῆσθαι; 
26	μὴ τοίνυν ἀκούσαντά τε τε add. Bekker Θεόμνηστον κακῶς τὰ προσήκοντα ἐλεεῖτε, καὶ ὑβρίζοντι καὶ λέγοντι παρὰ τοὺς νόμους συγγνώμην ἔχετε. τίς γὰρ ἂν ἐμοὶ μείζων ταύτης γένοιτο συμφορά, περὶ τοιούτου πατρὸς οὕτως αἰσχρὰς αἰτίας ἀκηκοότι; 
27	ὃς ἀκηκοότι; ὃς Reiske: ἀκηκοότος MSS. πολλάκις μὲν ἐστρατήγησε, πολλοὺς δὲ καὶ ἄλλους κινδύνους μεθʼ ὑμῶν ἐκινδύνευσε· καὶ οὔτε τοῖς πολεμίοις τὸ ἐκείνου σῶμα ὑποχείριον ἐγένετο, οὔτε τοῖς πολίταις οὐδεμίαν πώποτε ὦφλεν εὐθύνην, ἔτη δὲ γεγονὼς ἑπτὰ καὶ ἑξήκοντα ἐν ὀλιγαρχίᾳ διʼ εὔνοιαν τοῦ ὑμετέρου πλήθους ἀπέθανεν. 
28	ἆρʼ ἄξιον ὀργισθῆναι τῷ τοιαῦτʼ τοιαῦτʼ add. Frohberger εἰρηκότι καὶ βοηθῆσαι τῷ πατρί, ὡς καὶ ἐκείνου κακῶς ἀκηκοότος; τί γὰρ ἂν τούτου ἀνιαρότερον γένοιτο αὐτῷ, ἢ τεθνάναι μὲν ὑπὸ τῶν ἐχθρῶν, αἰτίαν δʼ ἔχειν ὑπὸ τῶν παίδων ἀνῃρῆσθαι ἀνῃρῆσθαι add. Brulart ; οὗ ἔτι καὶ νῦν, ὦ ἄνδρες δικασταί, τῆς ἀρετῆς τὰ μνημεῖα πρὸς τοῖς ὑμετέροις ἱεροῖς ἱεροῖς add. Contius ἀνάκειται, τὰ δὲ τούτου καὶ τοῦ τούτου πατρὸς τῆς κακίας πρὸς τοῖς τῶν πολεμίων· οὕτω σύμφυτος αὐτοῖς ἡ δειλία. 
29	καὶ μὲν δή, ὦ ἄνδρες δικασταί, ὅσῳ μείζους εἰσὶ καὶ νεανίαι τὰς ὄψεις, τοσούτῳ μᾶλλον ὀργῆς ἄξιοί εἰσι. δῆλον γὰρ ὅτι τοῖς μὲν σώμασι δύνανται, τὰς δὲ ψυχὰς οὐκ εὖ εὖ add. Emperius ἔχουσιν. 
30	 ἀκούω δʼ αὐτόν, ὦ ἄνδρες δικασταί, ἐπὶ τοῦτον τὸν λόγον τρέπεσθαι, ὡς ὀργισθεὶς εἴρηκε ταῦτα ἐμοῦ μαρτυρήσαντος τὴν αὐτὴν μαρτυρίαν Διονυσίῳ. ὑμεῖς δʼ ἐνθυμεῖσθε, ὦ ἄνδρες δικασταί, ὅτι ὁ νομοθέτης οὐδεμίαν ὀργῇ συγγνώμην δίδωσιν, ἀλλὰ ζημιοῖ τὸν λέγοντα, ἐὰν μὴ ἀποφαίνῃ ὡς ἔστιν ἀληθῆ τὰ εἰρημένα. ἐγὼ δὲ δὶς ἤδη περὶ τούτου μεμαρτύρηκα· οὐ γὰρ πω ᾔδη ὅτι ὑμεῖς τοὺς μὲν ἰδόντας τιμωρεῖσθε, τοῖς δὲ ἀποβαλοῦσι συγγνώμην ἔχετε. 
31	 περὶ μὲν οὖν τούτων οὐκ οἶδʼ ὅ τι δεῖ πλείω λέγειν· ἐγὼ δʼ ὑμῶν δέομαι καταψηφίσασθαι Θεομνήστου, ἐνθυμουμένους ὅτι οὐκ ἂν γένοιτο τούτου μείζων ἀγών μοι. νῦν γὰρ διώκω μὲν μὲν add. Scheibe κακηγορίας, τῇ δʼ αὐτῇ ψήφῳ φόνου φεύγω τοῦ πατρός, ὃς μόνος, ἐπειδὴ τάχιστα ἐδοκιμάσθην, ἐπεξῆλθον τοῖς τριάκοντα ἐν Ἀρείῳ πάγῳ. 
32	ὧν μεμνημένοι καὶ ἐμοὶ καὶ τῷ πατρὶ βοηθήσατε καὶ τοῖς νόμοις τοῖς κειμένοις καὶ τοῖς ὅρκοις οἷς ὀμωμόκατε.
